payment_id,gateway,customer_name,amount,fee,net_amount,currency,payment_date,reference,payment_status
PAY001,Stripe,ABC Private Limited,24000,600.0,23400.0,INR,2026-08-04,REF001,SUCCESS
PAY002,PayU,Ravi Enterprises Private Limited,48000,864.0,47136.0,INR,2026-08-05,REF002,SUCCESS
PAY003,PayU,Apex Global Technologies Pvt Ltd,24000,432.0,23568.0,INR,2026-08-14,REF003,SUCCESS
PAY004,Razorpay,Zenith Logistics Solutions Limited,24000,480.0,23520.0,INR,2026-08-12,REF004,SUCCESS
PAY005,Razorpay,Tata Consultancy Services Limited,12500,250.0,12250.0,INR,2026-08-03,REF005,SUCCESS
PAY006,PayU,Infosys BPM Private Limited,150000,2700.0,147300.0,INR,2026-08-11,REF006,SUCCESS
PAY007,PayU,Reliance Retail Ventures Limited,48000,864.0,47136.0,INR,2026-08-15,REF007,SUCCESS
PAY008,Stripe,Mahindra Logistics Solutions Ltd,150000,3750.0,146250.0,INR,2026-08-08,REF008,SUCCESS
PAY009,Razorpay,Larsen and Toubro Infotech Ltd,225000,4500.0,220500.0,INR,2026-08-06,REF009,SUCCESS
PAY010,Razorpay,Wipro Digital Solutions Pvt Ltd,89000,1780.0,87220.0,INR,2026-08-08,REF010,SUCCESS
PAY011,Razorpay,HCL Technologies India Pvt Ltd,48000,960.0,47040.0,INR,2026-08-15,REF011,SUCCESS
PAY012,Stripe,Bharat Heavy Electricals Limited,24000,600.0,23400.0,INR,2026-08-08,REF012,SUCCESS
PAY013,Razorpay,Sun Pharmaceutical Industries Ltd,75000,1500.0,73500.0,INR,2026-08-12,REF013,SUCCESS
PAY014,Stripe,Godrej Consumer Products Limited,115000,2875.0,112125.0,INR,2026-08-10,REF014,SUCCESS
PAY015,PayU,Adani Ports and SEZ Private Limited,24000,432.0,23568.0,INR,2026-08-11,REF015,SUCCESS
PAY016,PayU,Bajaj Finserv Direct Limited,225000,4050.0,220950.0,INR,2026-08-17,REF016,SUCCESS
PAY017,Razorpay,Tech Mahindra Solutions Limited,48000,960.0,47040.0,INR,2026-08-13,REF017,SUCCESS
PAY018,Razorpay,Zomato Media Private Limited,48000,960.0,47040.0,INR,2026-08-15,REF018,SUCCESS
PAY019,Stripe,Swiggy Bundl Technologies Pvt Ltd,48000,1200.0,46800.0,INR,2026-08-15,REF019,SUCCESS
PAY020,Stripe,Flipkart Internet Private Limited,62000,1550.0,60450.0,INR,2026-08-11,REF020,SUCCESS
PAY021,Razorpay,One97 Communications Limited,35000,700.0,34300.0,INR,2026-08-08,REF021,SUCCESS
PAY022,PayU,Nykaa E-Retail Private Limited,62000,1116.0,60884.0,INR,2026-08-15,REF022,SUCCESS
PAY023,Razorpay,Delhivery Logistics Private Limited,24000,480.0,23520.0,INR,2026-08-13,REF023,SUCCESS
PAY024,Razorpay,Urban Company Technologies Ltd,150000,3000.0,147000.0,INR,2026-08-13,REF024,SUCCESS
PAY025,PayU,Razorpay Software Private Limited,115000,2070.0,112930.0,INR,2026-08-09,REF025,SUCCESS
PAY026,Stripe,Freshworks Technologies Pvt Ltd,150000,3750.0,146250.0,INR,2026-08-07,REF026,SUCCESS
PAY027,Stripe,Zoho Corporation Private Limited,12500,312.5,12187.5,INR,2026-08-05,REF027,SUCCESS
PAY028,Razorpay,Pine Labs Private Limited,89000,1780.0,87220.0,INR,2026-08-06,REF028,SUCCESS
PAY029,Stripe,Policybazaar Insurance Brokers Ltd,225000,5625.0,219375.0,INR,2026-08-18,REF029,SUCCESS
PAY030,Stripe,PhonePe India Private Limited,48000,1200.0,46800.0,INR,2026-08-13,REF030,SUCCESS
PAY031,Razorpay,MakeMyTrip India Private Limited,115000,2300.0,112700.0,INR,2026-08-05,REF031,SUCCESS
PAY032,PayU,Ola ANI Technologies Private Limited,48000,864.0,47136.0,INR,2026-08-15,REF032,SUCCESS
PAY033,Stripe,PayU Payments Private Limited,62000,1550.0,60450.0,INR,2026-08-15,REF033,SUCCESS
PAY034,Razorpay,CRED Dreamplug Technologies Ltd,225000,4500.0,220500.0,INR,2026-08-09,REF034,SUCCESS
PAY035,Razorpay,Groww Nextbillion Technology Ltd,35000,700.0,34300.0,INR,2026-08-11,REF035,SUCCESS
PAY036,Razorpay,Zerodha Broking Limited,12500,250.0,12250.0,INR,2026-08-15,REF036,SUCCESS
PAY037,Stripe,BigBasket Supermarket Grocery Ltd,35000,875.0,34125.0,INR,2026-08-16,REF037,SUCCESS
PAY038,Stripe,Blinkit Commerce Private Limited,225000,5625.0,219375.0,INR,2026-08-04,REF038,SUCCESS
PAY039,Stripe,Dunzo Digital Private Limited,225000,5625.0,219375.0,INR,2026-08-11,REF039,SUCCESS
PAY040,PayU,Meesho Fashnear Technologies Ltd,150000,2700.0,147300.0,INR,2026-08-15,REF040,SUCCESS
PAY041,Stripe,Cars24 Services Private Limited,24000,600.0,23400.0,INR,2026-08-14,REF041,SUCCESS
PAY042,Stripe,Spinny Valuedrive Technologies Ltd,75000,1875.0,73125.0,INR,2026-08-04,REF042,SUCCESS
